frame,timestamp,class,confidence,track_id,x1,y1,x2,y2
40,1.6,No Helmet,0.8537,44,1533,569,1591,639
40,1.6,No Helmet,0.7526,51,1053,533,1111,607
40,1.6,Helmet,0.4881,40,1005,520,1063,590
41,1.64,No Helmet,0.8403,44,1530,568,1589,638
41,1.64,Helmet,0.7378,51,1028,523,1092,605
41,1.64,Helmet,0.6456,23,1309,548,1369,612
42,1.68,No Helmet,0.8905,44,1527,566,1588,639
42,1.68,Helmet,0.7513,51,1012,521,1078,602
42,1.68,Helmet,0.4373,58,1326,542,1389,600
42,1.68,Helmet,0.6095,23,1298,544,1359,610
43,1.72,No Helmet,0.8524,44,1526,564,1586,636
43,1.72,No Helmet,0.7311,51,997,518,1063,601
43,1.72,Helmet,0.8758,23,1290,538,1352,607
44,1.76,No Helmet,0.6418,44,1526,563,1583,631
44,1.76,No Helmet,0.7981,51,984,514,1051,599
44,1.76,Helmet,0.9064,23,1285,536,1351,608
45,1.8,No Helmet,0.5608,44,1524,561,1578,626
45,1.8,No Helmet,0.4065,51,971,509,1043,599
45,1.8,Helmet,0.91,23,1277,533,1345,606
46,1.84,Helmet,0.2762,44,1520,557,1574,622
46,1.84,No Helmet,0.8241,51,945,508,1018,599
46,1.84,Helmet,0.8989,23,1271,531,1340,604
47,1.88,No Helmet,0.2835,44,1515,556,1568,619
47,1.88,Helmet,0.627,51,928,507,996,592
47,1.88,Helmet,0.8526,23,1257,527,1330,604
48,1.92,Helmet,0.334,44,1512,555,1564,618
48,1.92,No Helmet,0.6673,51,905,501,977,592
48,1.92,Helmet,0.8112,23,1247,525,1322,603
48,1.92,Helmet,0.5364,40,1006,515,1056,575
49,1.96,Helmet,0.616,44,1507,555,1560,618
49,1.96,No Helmet,0.6683,51,884,498,957,591
49,1.96,Helmet,0.875,23,1231,521,1308,602
49,1.96,Helmet,0.5399,40,1005,514,1056,574
50,2.0,Helmet,0.2837,44,1503,555,1557,619
50,2.0,No Helmet,0.4811,51,861,493,937,589
50,2.0,Helmet,0.8983,23,1217,517,1296,600
50,2.0,Helmet,0.5134,40,1004,513,1055,573
51,2.04,No Helmet,0.57,44,1499,553,1553,617
51,2.04,Helmet,0.5523,51,837,487,916,587
51,2.04,Helmet,0.8934,23,1201,510,1284,597
52,2.08,No Helmet,0.7092,44,1495,548,1550,614
52,2.08,Helmet,0.8537,51,814,484,892,582
52,2.08,Helmet,0.869,23,1187,505,1274,595
53,2.12,No Helmet,0.6627,44,1492,545,1547,611
53,2.12,Helmet,0.6736,51,789,479,869,580
53,2.12,Helmet,0.8607,23,1169,503,1258,596
54,2.16,No Helmet,0.6664,44,1484,542,1540,608
54,2.16,Helmet,0.4645,51,764,475,843,575
54,2.16,Helmet,0.876,23,1158,499,1252,596
55,2.2,No Helmet,0.8183,44,1474,539,1533,607
55,2.2,Helmet,0.7653,51,737,468,819,571
55,2.2,Helmet,0.8777,23,1136,497,1228,593
56,2.24,No Helmet,0.6706,44,1464,533,1528,605
56,2.24,Helmet,0.5813,51,707,462,794,571
56,2.24,Helmet,0.7854,23,1129,488,1224,587
56,2.24,Helmet,0.7547,73,1167,487,1230,581
57,2.28,No Helmet,0.8327,44,1459,530,1524,604
57,2.28,Helmet,0.8413,51,678,454,766,565
57,2.28,Helmet,0.8098,23,1108,482,1207,584
57,2.28,Helmet,0.791,73,1144,482,1210,580
58,2.32,No Helmet,0.6188,44,1454,526,1520,600
58,2.32,Helmet,0.8897,51,645,448,736,563
58,2.32,Helmet,0.5961,23,1084,479,1181,579
58,2.32,Helmet,0.8365,73,1140,478,1202,569
59,2.36,Helmet,0.3977,44,1450,523,1517,597
59,2.36,Helmet,0.9203,51,612,440,706,560
59,2.36,Helmet,0.7718,73,1124,472,1188,566
59,2.36,Helmet,0.4315,45,1192,542,1252,613
60,2.4,No Helmet,0.6637,44,1445,522,1510,594
60,2.4,Helmet,0.9038,51,576,432,674,556
60,2.4,Helmet,0.532,73,1108,468,1172,560
61,2.44,No Helmet,0.8849,44,1436,521,1503,594
61,2.44,Helmet,0.8975,51,538,424,639,552
61,2.44,Helmet,0.7438,73,1082,460,1155,567
61,2.44,Helmet,0.8937,23,1010,459,1122,578
61,2.44,Helmet,0.4838,45,1179,533,1240,606
62,2.48,No Helmet,0.8411,44,1430,519,1498,593
62,2.48,Helmet,0.9058,51,500,418,603,550
62,2.48,Helmet,0.4827,73,1064,454,1138,561
62,2.48,Helmet,0.8416,23,983,454,1094,573
63,2.52,No Helmet,0.8608,44,1423,516,1492,591
63,2.52,Helmet,0.9045,51,458,411,566,549
63,2.52,Helmet,0.8052,73,1043,448,1117,555
63,2.52,Helmet,0.8845,23,959,449,1066,566
64,2.56,No Helmet,0.6288,44,1413,511,1486,591
64,2.56,Helmet,0.9116,51,417,402,525,541
64,2.56,Helmet,0.6754,73,1024,440,1099,550
64,2.56,Helmet,0.8619,23,932,441,1041,562
64,2.56,Helmet,0.8603,86,1125,511,1198,595
65,2.6,No Helmet,0.4776,44,1404,507,1478,589
65,2.6,Helmet,0.919,51,370,392,482,536
65,2.6,Helmet,0.7991,73,998,435,1072,544
65,2.6,Helmet,0.8306,23,905,437,1012,558
65,2.6,Helmet,0.8606,86,1113,510,1183,590
65,2.6,Helmet,0.7881,45,1190,538,1242,599
66,2.64,Helmet,0.4285,44,1392,502,1471,589
66,2.64,Helmet,0.925,51,323,382,437,529
66,2.64,Helmet,0.6086,73,974,430,1050,538
66,2.64,Helmet,0.8716,23,878,433,981,551
66,2.64,Helmet,0.9061,86,1093,505,1168,590
67,2.68,No Helmet,0.6212,44,1382,500,1462,588
67,2.68,Helmet,0.9294,51,269,372,387,523
67,2.68,Helmet,0.8698,73,947,423,1025,536
67,2.68,Helmet,0.8965,23,846,424,958,553
67,2.68,Helmet,0.8735,86,1077,501,1156,592
68,2.72,No Helmet,0.7921,44,1372,498,1455,590
68,2.72,Helmet,0.9231,51,211,362,333,520
68,2.72,Helmet,0.8481,73,912,414,999,540
68,2.72,Helmet,0.8638,23,811,413,930,552
68,2.72,Helmet,0.8531,86,1064,500,1140,587
69,2.76,Helmet,0.5039,44,1363,494,1446,587
69,2.76,Helmet,0.9186,51,150,351,275,512
69,2.76,Helmet,0.8661,73,880,404,971,535
69,2.76,Helmet,0.8878,23,777,406,896,546
69,2.76,Helmet,0.8716,86,1047,498,1125,587
70,2.8,Helmet,0.8809,44,1355,488,1437,579
70,2.8,Helmet,0.9266,51,83,335,214,503
70,2.8,Helmet,0.8839,73,843,392,939,530
70,2.8,Helmet,0.8611,23,739,393,863,540
70,2.8,Helmet,0.8742,86,1024,496,1107,592
70,2.8,Helmet,0.7148,102,746,391,918,537
71,2.84,Helmet,0.9012,44,1349,484,1428,571
71,2.84,Helmet,0.9181,51,15,320,149,493
71,2.84,Helmet,0.8079,73,809,381,904,516
71,2.84,Helmet,0.8864,23,699,386,822,533
71,2.84,Helmet,0.8592,86,1011,491,1091,583
72,2.88,Helmet,0.8806,44,1340,483,1417,567
72,2.88,No Helmet,0.7443,51,0,299,101,486
72,2.88,Helmet,0.872,73,769,371,868,510
72,2.88,Helmet,0.8998,23,655,376,780,525
72,2.88,Helmet,0.8809,86,994,486,1076,582
73,2.92,Helmet,0.8021,44,1330,481,1407,565
73,2.92,Helmet,0.8947,73,725,361,830,508
73,2.92,Helmet,0.8834,23,606,364,736,520
73,2.92,Helmet,0.8497,86,976,480,1060,578
74,2.96,Helmet,0.8595,44,1316,473,1397,562
74,2.96,Helmet,0.8745,73,677,351,787,505
74,2.96,Helmet,0.8914,23,553,355,689,519
74,2.96,Helmet,0.8408,86,958,476,1041,573
74,2.96,Helmet,0.5122,113,1050,531,1101,587
75,3.0,Helmet,0.8729,44,1303,466,1385,556
75,3.0,Helmet,0.874,73,625,342,741,506
75,3.0,Helmet,0.7467,23,496,345,637,516
75,3.0,Helmet,0.8929,86,938,472,1022,572
75,3.0,Helmet,0.4548,113,1035,525,1092,588
76,3.04,Helmet,0.8903,44,1286,456,1373,552
76,3.04,Helmet,0.9222,73,570,330,692,501
76,3.04,Helmet,0.8757,23,434,334,581,513
76,3.04,Helmet,0.8768,86,918,467,1000,565
76,3.04,Helmet,0.5736,113,1008,519,1072,589
77,3.08,Helmet,0.894,44,1271,448,1362,548
77,3.08,Helmet,0.8753,73,513,313,638,487
77,3.08,Helmet,0.9022,23,366,319,521,505
77,3.08,Helmet,0.8854,86,894,461,980,564
